"","pathway","tg_c","z","vpdo","cao","oao","paro","q0_response","q0_intercept","q0","beta","theta","lma","given_lma","f","patm","par","vpd","ca","oa","km","gammastar","chi","given_chi","ci","mc","m","omega","omega_star","Al","kp","kr","ko","Ap","leakage","cbs","chi_bs","obs","Ac","jmax","vpmax","vcmax","jmax25","vpmax25","vcmax25","nrubisco","nbioe","npep","nstructure","nall","nphoto","nrubisco_frac","nphoto_frac","elevation"
"11","C3",25,5000,1,295.7,209460,800,"yes",-0.0805,0.257,146,0.85,1276.26955947056,"no",0.5,55243.0892759575,908,1.98589034540063,16.3353814989006,11571.2174797421,39.2008678450921,2.36183629650578,0.640875010512235,"no",10.4689377898293,0.163219915795758,0.533621365192121,0.941205078942555,1.18742799643893,21.7445564353656,NA,NA,NA,0,NA,NA,NA,NA,21.7445564353656,219.635852401719,0,133.222446105016,219.635852401719,0,133.222446105016,0.417652368539225,0.174582344216751,0,2.54028817635397,3.13252288910994,0.592234712755976,0.133327794663902,0.189059979358762,"z = 5000 m"
"12","C3",25,5000,1,296.2,209460,800,"yes",-0.0805,0.257,146,0.85,1275.45679233963,"no",0.5,55243.0892759575,908,1.98589034540063,16.3630030435386,11571.2174797421,39.2008678450921,2.36183629650578,0.640772545932097,"no",10.4849631193029,0.163489805144211,0.534112788053685,0.941730658384904,1.18778522852728,21.7711292146776,NA,NA,NA,0,NA,NA,NA,NA,21.7711292146776,219.758499518068,0,133.165056961648,219.758499518068,0,133.165056961648,0.417472453574768,0.174679832950259,0,2.53868661608782,3.13083890261285,0.592152286525026,0.133342042360073,0.189135341978421,"z = 5000 m"
"13","C3",25,5000,1,296.6,209460,800,"yes",-0.0805,0.257,146,0.85,1274.80764944167,"no",0.5,55243.0892759575,908,1.98589034540063,16.385100279249,11571.2174797421,39.2008678450921,2.36183629650578,0.640690823001965,"no",10.4977833828818,0.163705591305796,0.534505181321756,0.942149883761426,1.18806993693505,21.7923459781175,NA,NA,NA,0,NA,NA,NA,NA,21.7923459781175,219.856328275031,0,133.119130533606,219.856328275031,0,133.119130533606,0.417328474222856,0.174757594269897,0,2.53740747057278,3.12949353906553,0.592086068492753,0.133353358622837,0.189195491571313,"z = 5000 m"
"14","C3",25,5000,1,297,209460,800,"yes",-0.0805,0.257,146,0.85,1274.15945610942,"no",0.5,55243.0892759575,908,1.98589034540063,16.4071975149594,11571.2174797421,39.2008678450921,2.36183629650578,0.640609320200937,"no",10.5106036464606,0.1639212661677,0.534896914160012,0.942568013609321,1.18835369312318,21.8135259972921,NA,NA,NA,0,NA,NA,NA,NA,21.8135259972921,219.953901383817,0,133.073191217152,219.953901383817,0,133.073191217152,0.417184454465773,0.174835152382008,0,2.53613018969152,3.1281497965393,0.592019606847781,0.13336460259266,0.189255516952141,"z = 5000 m"
"15","C3",25,5000,1,297.5,209460,800,"yes",-0.0805,0.257,146,0.85,1273.35054659965,"no",0.5,55243.0892759575,908,1.98589034540063,16.4348190595974,11571.2174797421,39.2008678450921,2.36183629650578,0.640507749903522,"no",10.5266289759342,0.164190703361045,0.535385654015815,0.943089142417842,1.18870705676002,21.8399495023341,NA,NA,NA,0,NA,NA,NA,NA,21.8399495023341,220.075509918058,0,133.015749706056,220.075509918058,0,133.015749706056,0.417004375328487,0.174931815575892,0,2.53453620452055,3.12647239542493,0.591936190904379,0.133378556592632,0.18933037495248,"z = 5000 m"
"16","C3",25,5000,1,298,209460,800,"yes",-0.0805,0.257,146,0.85,1272.54311348052,"no",0.5,55243.0892759575,908,1.98589034540063,16.4624406042353,11571.2174797421,39.2008678450921,2.36183629650578,0.640406520446031,"no",10.5426543054078,0.16445996695109,0.535873367794126,0.943608575756864,1.18905894970018,21.8663159460161,NA,NA,NA,0,NA,NA,NA,NA,21.8663159460161,220.196722804319,0,132.958289797779,220.196722804319,0,132.958289797779,0.416824238516036,0.175028164280356,0,2.53294511853195,3.12479752132834,0.591852402796392,0.13339239924219,0.189405041048803,"z = 5000 m"
"17","C3",25,5000,1,298.4,209460,800,"yes",-0.0805,0.257,146,0.85,1271.89822727225,"no",0.5,55243.0892759575,908,1.98589034540063,16.4845378399457,11571.2174797421,39.2008678450921,2.36183629650578,0.640325781133421,"no",10.5554745689867,0.164675252941472,0.536262802210573,0.944022907711809,1.18933941147771,21.8873681471557,NA,NA,NA,0,NA,NA,NA,NA,21.8873681471557,220.293409651997,0,132.912309264433,220.293409651997,0,132.912309264433,0.416680089543998,0.17510501792851,0,2.53167433183668,3.12345943930919,0.591785107472509,0.133403393781913,0.189464636558044,"z = 5000 m"
"18","C3",25,5000,1,298.8,209460,800,"yes",-0.0805,0.257,146,0.85,1271.25428130838,"no",0.5,55243.0892759575,908,1.98589034540063,16.5066350756561,11571.2174797421,39.2008678450921,2.36183629650578,0.640245257990323,"no",10.5682948325656,0.164890428018871,0.536651583649974,0.94443616485554,1.18961894281481,21.908384052039,NA,NA,NA,0,NA,NA,NA,NA,21.908384052039,220.389845686029,0,132.866318046865,220.389845686029,0,132.866318046865,0.416535907076922,0.175181672211972,0,2.53040539151987,3.12212297080876,0.591717579288894,0.133414318068651,0.189524110620029,"z = 5000 m"
"19","C3",25,5000,1,299.3,209460,800,"yes",-0.0805,0.257,146,0.85,1270.45066794241,"no",0.5,55243.0892759575,908,1.98589034540063,16.5342566202941,11571.2174797421,39.2008678450921,2.36183629650578,0.640144906729462,"no",10.5843201620392,0.165159241024772,0.537136644699577,0.944951231726951,1.18996705578381,21.9346030415056,NA,NA,NA,0,NA,NA,NA,NA,21.9346030415056,220.510039630874,0,132.808814725757,220.510039630874,0,132.808814725757,0.416355634165249,0.175277210988644,0,2.52882180646385,3.12045465161774,0.591632845153893,0.133427875309579,0.189598283329377,"z = 5000 m"
"20","C3",25,5000,1,299.7,209460,800,"yes",-0.0805,0.257,146,0.85,1269.80883002463,"no",0.5,55243.0892759575,908,1.98589034540063,16.5563538560045,11571.2174797421,39.2008678450921,2.36183629650578,0.640064866804884,"no",10.597140425618,0.165374166861128,0.537523962931889,0.945362087058257,1.1902445109381,21.9555376392409,NA,NA,NA,0,NA,NA,NA,NA,21.9555376392409,220.605915187566,0,132.762801203878,220.605915187566,0,132.762801203878,0.416211381774159,0.175353419764476,0,2.52755700580241,3.11912180734105,0.591564801538635,0.133438643144548,0.189657486330399,"z = 5000 m"
"21","C3",25,5000,1,300.1,209460,800,"yes",-0.0805,0.257,146,0.85,1269.16792569494,"no",0.5,55243.0892759575,908,1.98589034540063,16.5784510917149,11571.2174797421,39.2008678450921,2.36183629650578,0.639985040248981,"no",10.6099606891969,0.16558898206267,0.53791063350011,0.945771882194018,1.19052105096164,21.9764362593147,NA,NA,NA,0,NA,NA,NA,NA,21.9764362593148,220.701543341267,0,132.716778529367,220.701543341267,0,132.716778529367,0.416067100689566,0.175429431886648,0,2.52629403848305,3.11779057105926,0.591496532576215,0.13344934215649,0.189716569825681,"z = 5000 m"
"22","C3",25,5000,1,300.6,209460,800,"yes",-0.0805,0.257,146,0.85,1268.36810504075,"no",0.5,55243.0892759575,908,1.98589034540063,16.6060726363528,11571.2174797421,39.2008678450921,2.36183629650578,0.639885555806183,"no",10.6259860186705,0.165857345614489,0.538393063405018,0.946282641975183,1.19086544615669,22.0025090888697,NA,NA,NA,0,NA,NA,NA,NA,22.0025090888697,220.820732200761,0,132.65923801778,220.820732200761,0,132.65923801778,0.415886711185741,0.175524171749323,0,2.52471790139907,3.11612878433414,0.591410882935064,0.133462619798177,0.189790257035682,"z = 5000 m"
